requisito,objetivo,tarefas,casos,estado,evidencia_real,comparacao_objetivo_executado
R01,Identidade UStracker e finalidade de controle local/offline-first independente dos sistemas de referência.,T01|T18,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R02,Acesso exclusivamente PUBLIC e ADMIN; PUBLIC nunca recebe dados privados.,T04|T05|T12,T04-C01|T04-C02|T04-C03|T04-C04|T04-C05|T04-C06|T04-C07|T04-C08|T04-C09|T04-C10|T05-C01|T05-C02|T05-C03|T05-C04|T05-C05|T05-C06|T12-C01|T12-C02|T12-C03|T12-C04|T12-C05|T12-C06,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R03,"Exatamente três slots administrativos individualizados, bootstrap fechado e enrollment obrigatório.",T04|T13,T04-C01|T04-C02|T04-C03|T04-C04|T04-C05|T04-C06|T04-C07|T04-C08|T04-C09|T04-C10|T13-C01|T13-C02|T13-C03|T13-C04|T13-C05|T13-C06|T13-C07|T13-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R04,"Sessão administrativa segura, CSRF, autorização backend, revogação e lifecycle de janela sem reaparecimento de sessão.",T04|T05,T04-C01|T04-C02|T04-C03|T04-C04|T04-C05|T04-C06|T04-C07|T04-C08|T04-C09|T04-C10|T05-C01|T05-C02|T05-C03|T05-C04|T05-C05|T05-C06,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R05,"Cadastro completo de clientes: razão/nome, nome fantasia, nome público opcional, documento, contatos, endereço, observações e status.",T06,T06-C01|T06-C02|T06-C03|T06-C04|T06-C05|T06-C06|T06-C07|T06-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R06,"Veículos e frotas: placa histórica/Mercosul, tipo, RENAVAM opcional, rastreador/serial/IMEI, instalação, status e histórico de propriedade.",T06,T06-C01|T06-C02|T06-C03|T06-C04|T06-C05|T06-C06|T06-C07|T06-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R07,"Catálogo editável de planos/itens com código, categoria, periodicidade, preço/custo, observações, publicação e histórico de preços.",T07,T07-C01|T07-C02|T07-C03|T07-C04|T07-C05|T07-C06|T07-C07|T07-C08|T07-C09|T07-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R08,"Assinaturas versionadas com data de assinatura/início/fim, renovação, periodicidade, itens/veículos e competências idempotentes.",T07,T07-C01|T07-C02|T07-C03|T07-C04|T07-C05|T07-C06|T07-C07|T07-C08|T07-C09|T07-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R09,"Recebimentos: pagamentos parciais, alocações, crédito do cliente, ajustes, vencimento, juros/multa manuais e estorno sem edição destrutiva.",T07|T08,T07-C01|T07-C02|T07-C03|T07-C04|T07-C05|T07-C06|T07-C07|T07-C08|T07-C09|T07-C10|T08-C01|T08-C02|T08-C03|T08-C04|T08-C05|T08-C06|T08-C07|T08-C08|T08-C09|T08-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R10,"Despesas previstas/pagas, recorrências e vínculos opcionais a cliente, veículo, assinatura e item/serviço.",T09,T09-C01|T09-C02|T09-C03|T09-C04|T09-C05|T09-C06|T09-C07|T09-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R11,"Acompanhamento fiscal manual, referências/obrigações e prevenção de dupla contagem; sem emissão/transmissão oficial na V1.",T09,T09-C01|T09-C02|T09-C03|T09-C04|T09-C05|T09-C06|T09-C07|T09-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R12,"Resultados por caixa e competência, dashboard completo, próximos vencimentos, inadimplência, distribuição por plano, busca global e relatórios.",T11|T12,T11-C01|T11-C02|T11-C03|T11-C04|T11-C05|T11-C06|T11-C07|T11-C08|T11-C09|T11-C10|T12-C01|T12-C02|T12-C03|T12-C04|T12-C05|T12-C06,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R13,Dinheiro BRL em centavos inteiros/Decimal e política de arredondamento versionada e reproduzível.,T02|T08|T11,T02-C01|T02-C02|T02-C03|T02-C04|T02-C05|T08-C01|T08-C02|T08-C03|T08-C04|T08-C05|T08-C06|T08-C07|T08-C08|T08-C09|T08-C10|T11-C01|T11-C02|T11-C03|T11-C04|T11-C05|T11-C06|T11-C07|T11-C08|T11-C09|T11-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R14,"Interface organizada, responsiva, acessível, tabelas com busca/filtro/ordenação/paginação e estados de erro/empty/loading.",T12,T12-C01|T12-C02|T12-C03|T12-C04|T12-C05|T12-C06,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R15,"Branding/configuração administrável: nomes da empresa/sistema, logo, favicon, ícones, cores, contato, textos permitidos e rodapé protegido.",T12|T13,T12-C01|T12-C02|T12-C03|T12-C04|T12-C05|T12-C06|T13-C01|T13-C02|T13-C03|T13-C04|T13-C05|T13-C06|T13-C07|T13-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R16,"Fotos validadas, reencodadas, comprimidas, com miniaturas, metadados removidos, privadas, cifradas e recuperáveis.",T10,T10-C01|T10-C02|T10-C03|T10-C04|T10-C05|T10-C06|T10-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
