id,section,historical_item,decision,canonical_resolution,tasks,cases,target_version,reason
H001,2.1 Cliente,Código interno,SUBSTITUIR,UUID interno + código de exibição opcional/derivado; nunca depende de sequência global,T06,T06-C01,V1,UUID evita colisão em transferência; UI pode exibir identificador curto.
H002,2.1 Cliente,Nome completo ou razão social,MANTER,clients.legal_name obrigatório,T06,T06-C01,V1,Campo central.
H003,2.1 Cliente,Nome fantasia,MANTER,clients.trade_name opcional,T06,T06-C01,V1,Lacuna da 1.0 corrigida.
H004,2.1 Cliente,CPF/CNPJ,MANTER,"document_type/document opcionais por default, normalizados e únicos quando presentes",T06,T06-C01,V1,Sem impor obrigatoriedade empresarial inexistente.
H005,2.1 Cliente,Foto do cliente,MANTER,Photo owner_kind=client,T10,T10-C01,V1,Privada/cifrada.
H006,2.1 Cliente,Telefone principal e adicionais,MANTER,phones list[str]; primeiro elemento é o telefone principal,T06,T06-C01,V1,Preserva múltiplos contatos.
H007,2.1 Cliente,E-mail,MANTER,email opcional normalizado para busca,T06,T06-C01,V1,
H008,2.1 Cliente.Endereço,CEP,MANTER,Address.postcode,T06,T06-C01,V1,Endereço estruturado.
H009,2.1 Cliente.Endereço,Logradouro,MANTER,Address.street,T06,T06-C01,V1,Endereço estruturado.
H010,2.1 Cliente.Endereço,Número,MANTER,Address.number,T06,T06-C01,V1,Endereço estruturado.
H011,2.1 Cliente.Endereço,Complemento,MANTER,Address.complement,T06,T06-C01,V1,Endereço estruturado.
H012,2.1 Cliente.Endereço,Bairro,MANTER,Address.neighborhood,T06,T06-C01,V1,Endereço estruturado.
H013,2.1 Cliente.Endereço,Cidade,MANTER,Address.city,T06,T06-C01,V1,Endereço estruturado.
H014,2.1 Cliente.Endereço,Estado,MANTER,Address.state,T06,T06-C01,V1,Endereço estruturado.
H015,2.1 Cliente,Observações,MANTER,notes,T06,T06-C01,V1,
H016,2.1 Cliente,Data de cadastro/atualização,MANTER,created_at/updated_at UTC,T03|T06,T03-C06,V1,Automático/auditável.
H017,2.1 Cliente,Status Ativo/Inativo/Bloqueado/Cancelado,MANTER,ClientStatus ACTIVE/INACTIVE/BLOCKED/CANCELLED,T06,T06-C02,V1,Não reduzir a boolean active.
H018,2.1 Cliente,Nome de apresentação público,ADICIONAR,public_name opcional separado de legal/trade; só PUBLIC quando explicitamente preenchido,T05|T06,T05-C03,V1,Revisão posterior do usuário/PECSUS.
H019,2.2 Veículo,Código interno,MANTER,UUID interno,T06,T06-C03,V1,
H020,2.2 Veículo,Cliente/empresa responsável,MANTER,ownerships + client_id vigente,T06,T06-C03,V1,
H021,2.2 Veículo,Número de placa,MANTER,vehicles.plate normalizado,T06,T06-C03,V1,
H022,2.2 Veículo,Foto,MANTER,Photo owner_kind=vehicle,T10,T10-C01,V1,
H023,2.2 Veículo,Marca,MANTER,brand,T06,T06-C03,V1,
H024,2.2 Veículo,Modelo,MANTER,model,T06,T06-C03,V1,
H025,2.2 Veículo,Ano,MANTER,year,T06,T06-C03,V1,
H026,2.2 Veículo,Cor,MANTER,color,T06,T06-C03,V1,
H027,2.2 Veículo,Tipo do veículo,MANTER,vehicle_type,T06,T06-C03,V1,
H028,2.2 Veículo,RENAVAM opcional,MANTER,renavam,T06,T06-C03,V1,
H029,2.2 Veículo,Identificador do rastreador,MANTER,tracker_ref,T06,T06-C03,V1,
H030,2.2 Veículo,Número de série/IMEI,MANTER,tracker_serial_imei,T06,T06-C03,V1,
H031,2.2 Veículo,Data de instalação,MANTER,installed_on,T06,T06-C03,V1,
H032,2.2 Veículo,Situação do rastreamento,MANTER,tracking_status,T06,T06-C03,V1,
H033,2.2 Veículo,Observações,MANTER,notes,T06,T06-C03,V1,
H034,2.2 Veículo,Plano contratado,SUBSTITUIR,Derivado da subscription vigente; não duplicar em vehicles,T07,T07-C03,V1,Evita inconsistência.
H035,2.2 Veículo,Valor mensal,SUBSTITUIR,Derivado de subscription_items/charge; não coluna de veículo,T07,T07-C02,V1,Preserva histórico de preço corretamente.
H036,2.2 Veículo,Placa antiga e Mercosul,MANTER,Validação AAA0000/AAA0A00 após normalização,T06,T06-C03,V1,
H037,2.2 Veículo,Transferência entre clientes com histórico,MANTER,ownerships intervalados + VehicleService.transfer,T06,T06-C04,V1,Decisão aberta resolvida: SIM.
H038,2.3 Frotas,Cliente com vários veículos,MANTER,ownerships/fleets,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H039,2.3 Frotas,Agrupamento por frota/setor/unidade,MANTER,fleets.name + sector_or_unit,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H040,2.3 Frotas,Planos diferentes por veículo,MANTER,subscription_items.vehicle_id,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H041,2.3 Frotas,Valor individual/consolidado,MANTER,relatórios por item/cliente/frota,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H042,2.3 Frotas,Visão financeira da frota,MANTER,Dashboard/Report filters,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H043,2.3 Frotas,Situação individual de equipamento,MANTER,vehicle.tracking_status,T06|T07|T11,T06-C05|T07-C03|T11-C09|T11-C10,V1,Implementação distribuída por domínio.
H044,3 Catálogo,Código,MANTER,catalog.code,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H045,3 Catálogo,Nome,MANTER,name,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H046,3 Catálogo,Descrição,MANTER,description,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H047,3 Catálogo,Categoria,MANTER,category editável,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H048,3 Catálogo,Periodicidade,MANTER,billing_interval_months,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H049,3 Catálogo,Preço venda,MANTER,catalog_prices.price_cents,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
